id,name,definition,purpose,meta_meta,Обоснование и связанные понятия,examples,relations,status,Связанные понятия и мои мысли
C_11,Исчезающие заметки,"Рабочий продукт практики мышления письмом; могут быть мимолетными (пришедшие непроизвольно) или образовательными (возникшие при чтении). Называются ""исчезающими"", так как после разбора и переноса в черновики их следует удалять.",,U.Episteme: Эпистемический артефакт,"Исчезающие заметки — это рабочий продукт практики мышления письмом, который служит сырьем для дальнейшей обработки. Они могут быть мимолетными или образовательными и называются «исчезающими», потому что после разбора и переноса в черновики их следует удалять. Каждая такая заметка, как и ""Заготовка"", является эпистемическим артефактом (U.Episteme), то есть зафиксированным знанием. Это входящий рабочий продукт для стратегирования, который позволяет фиксировать идеи, не опасаясь ""засорить"" систему знаний.",,,,"Мышление письмом, Творческий конвейер, Мыслительный резонанс, Черновики. Мысли: Это фундаментальный инструмент для ""ловли"" мыслей. Принцип ""исчезания"" снимает перфекционизм и страх ""засорить"" систему. Заметка — это не архив, а сырьё. Её задача — быть быстро зафиксированной и так же быстро переработанной в более структурированный черновик. Это освобождает ум и стимулирует постоянный поток идей."
C_12,Калибр личности,"Калибр личности — это характеристика, которая определяется широтой и сложностью интересов человека, а также его способностью и желанием размышлять о системах и времени, выходящих за пределы его собственной жизни. В контексте системной карьеры, это способность человека переходить от решения личных неудовлетворённостей к решению проблем на всё более высоких системных уровнях: от команды и предприятия до сообщества, общества и даже цивилизации.Рост калибра личности — это один из четырёх ключевых аспектов карьерного роста. Он напрямую связан с масштабом систем, которые человек способен создавать, и является неотъемлемой частью характеристики «элиты» — созидателей, которые устойчиво создают ценность на высоких системных уровнях.",,U.Characteristic: Характеристика,"Калибр личности определяется масштабом систем, которые человек способен создавать (от семьи до общества). Это измеряемая характеристика, которая описывает «размер» его агентности и влияния. В FPF для таких измеряемых свойств используется тип U.Characteristic.",,,,"Агентность — это движущая сила, желание действовать. Калибр личности определяет направление и масштаб приложения этой силы. Можно обладать высокой агентностью, но направлять её на решение локальных, личных задач (небольшой калибр). Рост калибра личности означает применение агентности для решения всё более глобальных проблем.• Рост по системным уровням: Это операционное определение роста калибра личности. Вы буквально начинаете создавать системы, которые приносят пользу не только вам, но и вашей команде, организации, рынку и обществу в целом. Неудовлетворённости: Рост калибра личности проявляется в эволюции ваших неудовлетворённостей. Вы начинаете с личных проблем («мало зарабатываю»), переходите к проблемам окружения («процессы в команде неэффективны») и в итоге дорастаете до проблем общества («в моей отрасли нет стандартов качества», «образование не готовит к вызовам XXI века»). Элита: высокий калибр личности является одним из ключевых признаков элиты. Элита — это люди, которые не просто думают, но и устойчиво действуют на высоких системных уровнях, создавая там ценность. Сверхцели и проблемы изменения мира: это практические проявления большого калибра личности. Человек начинает ставить перед собой не просто личные цели, а сверхцели и браться за решение глобальных проблем, которые требуют визионерства и способности объединять сообщества.• Сообщество единомышленников: Нахождение в сообществе, которое ставит перед собой амбициозные цели на высоких системных уровнях, является мощнейшим инструментом для увеличения собственного калибра личности. 
Калибр личности — это вектор развития, а не статичная черта. Никто не рождается с «большим калибром». Это результат осознанного выбора и непрерывного развития. Методология системной карьеры как раз и предлагает инструменты для такого роста: через регулярные сессии стратегирования вы анализируете свои неудовлетворённости и постепенно «поднимаете планку» — от личного к общественному. Это не про эго, а про ответственность. Важно понимать, что большой калибр личности — это не про «великие амбиции» или самомнение. Это, прежде всего, про принятие на себя ответственности за всё более сложные и масштабные системы. Это переход от логики «что я могу получить от мира?» к логике «какую ценность я могу создать для мира?». Калибр личности растёт через практику, а не через размышления. Просто думать о глобальных проблемах недостаточно. Рост происходит, когда вы начинаете действовать — запускаете приоритетный проект, который, пусть и на микроуровне, но адресует проблему более высокого системного порядка. Например, вместо того чтобы просто жаловаться на отсутствие стандартов в отрасли, вы создаете и публикуете «регламент версии 0.1» для своей команды — это и есть практический шаг по увеличению калибра. «Банка с огурцами» решает. Один из самых эффективных способов увеличить свой калибр — поместить себя в окружение людей, чей калибр уже высок. Сообщество с высокой миссией, которое обсуждает и решает проблемы на уровне отрасли или общества, неизбежно «пропитает» вас и изменит масштаб вашего мышления и действий. Это самый быстрый путь к росту."
C_13,Карта ролей / карта системы карьеры,Визуализация ролей и связей «надсистема–целевая система–система создания».,,U.Episteme: Эпистемический артефакт (модель),"Это визуализация (модель) ролей и их связей в разных системах. Любая модель, схема или описание в FPF является знаниевым артефактом, то есть U.Episteme.",,,,Отличный инструмент концепт-чека понимания «роль ≠ должность».
C_14,Карьера,"Последовательный процесс достижений и опыта, связанный с развитием мастерства, должностным продвижением и личными/профессиональными целями.",,U.Work: Запись о событии/процессе,"Карьера — это процесс накопления опыта и достижений на протяжении жизни. Это не план, а фактическая история событий. В FPF запись о фактическом выполнении работ и произошедших событиях — это U.Work.",,,,Мыслить карьеру как проект с циклом «план→действие→проверка→коррекция» повышает управляемость.
C_15,Карьерный рост,"Процесс, включающий в себя четыре аспекта: профессиональный (углубление мастерства), должностной (расширение ответственности и ресурсов), рост по системным уровням (увеличение масштаба создаваемой полезности) и рост по основным ролям (Ученик, Интеллектуал и т.д.).",,B.4 Canonical Evolution Loop: Канонический цикл эволюции,"Карьерный рост — это процесс эволюционного развития по нескольким направлениям: профессиональному, должностному и по системным уровням. FPF моделирует такие процессы улучшения и развития через Канонический цикл эволюции (Run-Observe-Refine-Deploy).",,,,"Роль, Должность, Мастерство, Системные уровни, Траектория ролей. Мысли: Такое многомерное представление о росте гораздо богаче традиционного ""вверх по лестнице"". Оно позволяет строить более гибкие и устойчивые траектории. Можно, например, активно расти по системным уровням и в ролях, временно не меняя должность, и это будет мощным карьерным развитием."
C_16,Киберличность,"Человек вместе с его контуром цифровых средств: ИИ-агентами, экзокортексом, инструментами и регламентами. В системной карьере объектом развития и найма становится именно эта целостная система.",,U.System: Система (составная),"Киберличность — это не просто человек, а составная система, включающая самого человека, его ИИ-агентов, экзокортекс и инструменты. FPF моделирует такие операционные целостности, состоящие из взаимодействующих частей, как U.System.",,,,"Экзокортекс, ИИ-ассистенты, Роли агентов, Личный контракт, Паспорт киберличности. Мысли: Это взгляд в будущее, которое уже наступило. Работодатель нанимает не просто специалиста, а его способность производить результат. Сегодня эта способность всё больше зависит от того, как человек ""оркестрирует"" своих цифровых помощников. ""Паспорт киберличности"" — это, по сути, резюме вашей расширенной производительной системы."
C_17,Конвейер работ,"Повторяемая последовательность шагов с метриками и артефактами, адаптированная под конкретный карьерный контекст (например, поиск первой работы или рост на текущем месте). Без конвейера любая стратегия превращается в надежду.",,U.MethodDescription: Описание метода,"Конвейер работ — это повторяемая последовательность шагов с метриками и артефактами, адаптированная под конкретный контекст. Это описание метода или «рецепт», которому можно следовать. В FPF для этого используется U.MethodDescription.",,,,"Приоритетный проект, Рабочий продукт, Метрики, Спринт, Системная карьера. Мысли: Это операционализация карьерной стратегии. Вместо абстрактной цели ""найти работу"" вы строите конкретный, измеримый процесс: ""N вакансий в неделю → M адаптированных резюме → K интервью"". Это делает результат предсказуемым и позволяет улучшать конверсию на каждом этапе. Для любой карьерной задачи можно и нужно спроектировать свой конвейер."
C_18,Конструктивное выравнивание,"Согласование целей, активностей и оценивания так, чтобы они вели к измеримым результатам обучения.",,U.Method: Абстрактный метод (способ действия),"Конструктивное выравнивание — это метод согласования целей, активностей и способов оценки для достижения измеримых результатов обучения. По своей сути, это рецепт или способ действия (way of working), который можно применять в различных учебных проектах. В FPF абстрактные, воспроизводимые способы действия моделируются как U.Method. Этот метод обеспечивает, чтобы все элементы учебного процесса (задания, метрики, цели) были выровнены и вели к единому, заранее определенному результату.",,,,"Каркас курса: LO ↔ задания ↔ метрики (напр., Contract v1 → checklist → completeness%)."
C_19,Консультанты и карьерные трекеры,"Фасилитаторы системной карьеры, переводящие неудовлетворённости в приоритетный проект с недельным ритмом.",,U.Role: Роль,"Консультанты и карьерные трекеры — это фасилитаторы системной карьеры. Они выполняют определённую функцию: помогают человеку переводить его неудовлетворённости в приоритетные проекты с недельным ритмом. FPF моделирует такие контекстные функции, которые может выполнять агент (человек, организация, ИИ), как U.Role. Роль консультанта заключается в том, чтобы задавать «правильные вопросы», снимать онтологические путаницы и выстраивать контуры качества для киберличности клиента.",,,,"Быстрый скрининг — у них есть свой контракт, портфель артефактов и публичный ритм."
C_20,Критерии приёмки,"Условия, по которым артефакт считается готовым; задаются до начала работы.",,U.Characteristic: Характеристика,"Критерии приёмки — это условия, по которым рабочий продукт (артефакт) считается готовым. Они задают норму или стандарт качества, с которым сравнивается результат работы. В FPF измеряемые свойства, атрибуты и нормы для систем канонизированы как U.Characteristic. Критерии приёмки являются конкретным примером таких характеристик, которые служат для проверки соответствия и принимаются до начала работы.",,,,Делают качество объективным; хорошо сочетаются с назначением проверяющего и журналом решений/тестами.
C_21,Крошки времени,"Небольшие промежутки времени в течение дня (паузы, время в очереди), которые можно использовать для выполнения мелких, заранее подготовленных задач. Это ресурс для повышения продуктивности.",,U.Method: Абстрактный метод (способ действия),"«Крошки времени» — это практика использования небольших промежутков времени в течение дня (паузы, время в очереди) для выполнения мелких, заранее подготовленных задач. Это воспроизводимый приём или способ работы (way of working), направленный на повышение продуктивности. В FPF такие универсальные «рецепты» действий моделируются как U.Method. Эта практика требует предварительного планирования и помогает превратить «потерянное» время в ресурс.",,,,"Планирование, Список работ для крошек времени, Управляемость вниманием. Мысли: Это практический инструмент для работы с ""потерянным"" временем. Вместо бездумного скроллинга соцсетей можно прочитать статью из заранее подготовленного списка. Это требует дисциплины планирования, но значительно увеличивает полезное время в течение дня."
C_22,Личный контракт,"Краткий документ (1-2 страницы), который переводит личные смыслы, неудовлетворённости и долгосрочные цели в конкретные, измеримые еженедельные действия и рабочие продукты. Это договорённости с самим собой, структурированные по цепочке «смысл → роли → компетенции → эпики → спринты → слоты».",,U.WorkPlan: План работ (с элементами U.Episteme),"Личный контракт — это живой процесс и документ, который связывает глубинные неудовлетвореннос­ти человека со стратегией, проектами и конкретными действиями в календаре. Он является инструментом планирования, который переводит стратегии (гипотезы) в конкретные проекты и задачи на неделю. В FPF план конкретных действий с определенной целью моделируется как U.WorkPlan. Поскольку контракт также содержит гипотезы и описания (стратегию), он включает в себя и элементы U.Episteme (знаниевого артефакта).",,,,"Стратегирование, Приоритетный проект, Роль, Спринт, Слот, Агентность, Киберличность. Мысли: Это самый практичный инструмент системной карьеры. Он заставляет быть честным с самим собой и создает управляемый мост между абстрактными намерениями и календарём ближайшей недели. Если в контракте есть цель, но в календаре нет защищённых слотов для неё, значит, это не цель, а просто ""шум в голове"". Контракт делает этот разрыв видимым и заставляет действовать."
C_23,Мастерство (компетенции),"Набор знаний и умений, необходимых для исполнения роли в надсистеме.",,U.Capability: Способность системы,"Мастерство — это набор знаний и умений для исполнения роли, то есть способность решать определённый класс задач. В FPF U.Capability как раз и моделирует способность системы (агента) выполнять работу.",,,,Развивается через планируемые «эпики» и недельные спринты.
C_24,Мимолетные заметки,,,U.Episteme: Эпистемический артефакт,"Это зафиксированные идеи и наблюдения, которые служат сырьём для дальнейшей обработки. Каждая такая заметка — это знаниевый артефакт, то есть U.Episteme, пусть и с низким уровнем формальности (F0).",,,,
C_25,Мыслительный резонанс,"Ощущение ""отклика"" или гармонии, когда новая информация (идея, мем, теория) совпадает или удачно дополняет имеющиеся у человека картины мира. Проявляется как вдохновение, радость, инсайт. Это сигнал для фиксации мысли в виде заметки.",,U.Dynamics: Закон изменения состояния (триггер),"Это сигнал (ощущение), возникающий при совпадении новой информации с имеющейся картиной мира. В FPF такие события, которые запускают переход системы (в данном случае, ментальной системы человека) в новое состояние (например, состояние «идея зафиксирована»), можно рассматривать как триггеры в рамках U.Dynamics.",,,,"Систематическое медленное чтение, Исчезающие заметки, Мышление письмом. Мысли: Если онтологический дребезг — это сигнал об ошибке, то резонанс — это сигнал о ценности. Это телесный маркер того, что мозг нашел что-то важное. Практика состоит в том, чтобы не пропускать эти моменты, а немедленно останавливаться и записывать мысль. Так случайные инсайты превращаются в строительные блоки для вашей личной базы знаний."
C_26,Мышление письмом,"Практика, целью которой является получение результата размышлений в виде текста (заготовки), причём мысли создаются прямо в процессе письма, а не оформляются после. Это основная культурная практика мышления для современного человека.",,U.Method: Абстрактный метод (способ действия),"Мышление письмом — это основной метод для стратегирования, позволяющий через письменные размышления генерировать и прорабатывать идеи, стратегии и неудовлетворен­ности. Это воспроизводимый способ действия (way of working) по созданию знаниевых артефактов (заготовок, стратегий). В FPF такие универсальные методы мышления и действия моделируются как U.Method.",,,,"Экзокортекс, Заготовка, Исчезающие заметки, Черновики, Личная база знаний, Систематическое медленное чтение. Мысли: Это не про ""красивый текст"", а про ""сильное мышление"". Думать с помощью экзокортекса (компьютера) продуктивнее, чем только головой. Эта практика обучает вашу собственную нейронную сеть, создавая при этом ценный внешний актив — личную базу знаний. Принцип ""в сложных ситуациях — пиши"" — мощнейший инструмент для работы с неопределённостью."
C_27,Недельное стратегирование,Регулярный цикл «план→исполнение→демо→рецензия→выводы→коррекция».,,U.Work: Запись о событии/процессе (сессия),"Недельное стратегирование (или стратегическая сессия) — это регулярный, запланированный цикл работ по анализу и коррекции стратегии, планов и неудовлетворен­ностей. Это конкретное событие или процесс, происходящий в определённое время (например, раз в неделю). В FPF запись о фактическом выполнении работы или процессе — это U.Work. На выходе этой работы появляются обновленные рабочие продукты: список проектов, бюджет времени и т.д..",,,,Фиксация маркеров начала/конца и времени разбора снимает «размазанный» прогресс.
C_28,Недельный цикл,Одна неудовлетворённость → цель-артефакт → критерии → план слотов (человек+агенты) → публичная демо → рецензия → обновление контрактов/методов.,,B.4 Canonical Evolution Loop: Канонический цикл эволюции,"Недельный цикл — это базовая единица прогресса, включающая в себя последовательность «план → исполнение → демонстрация → рецензия → выводы → коррекция плана». Этот повторяющийся процесс направлен на постоянное улучшение и адаптацию. В FPF такие процессы эволюционного развития и улучшения моделируются через Канонический цикл эволюции (Run-Observe-Refine-Deploy).",,,,Эта петля — минимальная «машина обучения» киберличности.
C_29,Неудовлетворённость,"Внутренние «болевые точки», которые хочется уменьшить; то, что вызывает беспокойство; источник приоритетных проектов и движущая сила для развития. Работа с формально описанными неудовлетворённостями является отправной точкой стратегирования.",,U.Characteristic: Характеристика,"Неудовлетворённость — это внутреннее психическое состояние, возникающее из-за разрыва между желаемым и действительным (проблемы). Это ключевая характеристика состояния человека, которая служит «топливом» для стратегирования и запуска проектов. В FPF измеряемые свойства и состояния систем канонизированы как U.Characteristic. Формальное описание неудовлетворённостей является первым шагом в работе с ними.",,,,"Стратегирование, Приоритетный проект, Беспокойство, Жизненное мастерство. Мысли: Это не просто ""проблема"", а фундаментальное состояние человека. Систематическая работа с неудовлетворённостями (их выписывание, анализ) программирует мозг на поиск решений и возможностей. Это топливо для роста. При этом важно растить калибр своих неудовлетворённостей — от личных к проблемам сообщества и общества."
C_30,Онтологический дребезг,"Ощущение дискомфорта, раздражения или дезориентации, возникающее, когда человек сталкивается с нарушением логических связей или типов в речи собеседника (например, ""Я посетил Москву, Нью-Йорк и Австралию""). Это сигнал об онтологической ошибке.",,U.Characteristic: Характеристика,"Онтологический дребезг — это ощущение дискомфорта, возникающее при столкновении с высказыванием, в котором нарушена логика типов объектов. Например, когда путают работы и команду, которая их выполняет. Это сигнал, указывающий на онтологическую ошибку. Этот сигнал является характеристикой состояния ментальной модели человека. В FPF такие измеряемые свойства и сигналы моделируются как U.Characteristic.",,,,"Мышление проговариванием, Системное мышление, Картины мира, Заметка. Мысли: Это своего рода ""интеллектуальная интуиция"", натренированная системным мышлением. Умение замечать этот ""дребезг"" у себя и других — мощный инструмент для отладки мышления. Он заставляет задавать уточняющие вопросы и прояснять понятия, что критически важно для любой совместной интеллектуальной работы."
C_31,Осознанное обучение (vs интуитивное),"Обучение, при котором человек целенаправленно изучает теорию, обращает внимание на понятия и принципы, и пробует создавать рабочие продукты по методике. Отличается от интуитивного обучения («бери и делай», «смотри и повторяй»).",,U.Method: Абстрактный метод (способ действия),"Осознанное обучение — это метод освоения нового, при котором человек целенаправленно изучает теорию, обращает внимание на понятия и принципы, и создаёт рабочие продукты по методике. Это противопоставляется интуитивному подходу «бери и делай». Такой способ обучения является воспроизводимым методом (way of working). В FPF подобные абстрактные способы действия моделируются как U.Method.",,,,"Роль ученика, Профессиональный ученик, Мастерство саморазвития, Уровни мастерства. Мысли: Это ключевое методологическое различение. Интуитивный подход (""плавать по-собачьи"") может работать, но он менее эффективен и непредсказуем по сравнению с осознанным освоением лучших практик (""плавание кролем""). Курс нацелен именно на постановку осознанного подхода к обучению."
C_32,Пассажирский режим,"Когда заказчиком развития выступают внешние институты, а не сам человек.",,U.Characteristic: Характеристика,"Пассажирский режим — это состояние, в котором человек пассивно плывёт по течению чужих запросов, вместо того чтобы активно управлять собственным развитием. Это антоним агентской позиции. Это состояние является характеристикой поведения системы (человека). В FPF такие измеряемые свойства и состояния канонизированы как U.Characteristic. Личный контракт является инструментом для выхода из этого режима.",,,,Переход к позиции «личного заказчика» — базовая смена парадигмы курса.
C_33,Показатели прогресса,"Ведущие: часы, артефакты, частота демо; запаздывающие: усложнение задач, рост ответственности, изменения должности.",,MM-CHR: Характеристика измерения (метрика),"Это конкретные метрики (ведущие и запаздывающие), которые используются для оценки движения к цели. FPF имеет специальную архитеорию MM-CHR для определения метрик, где каждая метрика привязана к характеристике, шкале и единице измерения (CSLC).",,,,Разведение leading/lagging устраняет ложные сигналы мотивации и концентрирует на действиях.
C_34,Правила качества,Критерии приёмки заранее; назначен проверяющий; ведутся журналы/тесты; публичность обязательна.,,Norm-CAL: Нормативный калькулус (ограничение),"Правила качества — это набор норм, критериев и стандартов, которые определяют приемлемость рабочего продукта. Они включают критерии приёмки, наличие проверяющего, тесты и пост-анализ. В FPF такие предписания, обязательства и ограничения, которые управляют действиями и оценивают результаты, моделируются через архитеорию Norm-CAL. Это не просто характеристика, а именно нормативный контракт, определяющий «как должно быть».",,,,Переносят стандарты инженерии в личное развитие и работу с ИИ-агентами (SLO).
